stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code,state
216210,,Sefton Station,-33.88527733,151.01170402,1,,0,,,NSW
216220,,Chester Hill Station,-33.88365890,151.00025170,1,,0,,,NSW
216310,,Leightonfield Station,-33.88148108,150.98489517,1,,0,,,NSW
216320,,Villawood Station,-33.88083101,150.97685942,1,,0,,,NSW
219210,,Belmore Station,-33.91722531,151.08841509,1,,0,,,NSW
219310,,Hurlstone Park Station,-33.91020179,151.13248381,1,,0,,,NSW
219320,,Canterbury Station,-33.91208682,151.11873137,1,,0,,,NSW
219410,,Campsie Station,-33.91043503,151.10345755,1,,0,,,NSW
219510,,Lakemba Station,-33.91996087,151.07631124,1,,0,,,NSW
219520,,Wiley Park Station,-33.92276181,151.06791697,1,,0,,,NSW
219610,,Punchbowl Station,-33.92540504,151.05554778,1,,0,,,NSW
219910,,Yagoona Station,-33.90721147,151.02459877,1,,0,,,NSW
220010,,Bankstown Station,-33.91786888,151.03428744,1,,0,,,NSW
220310,,Dulwich Hill Station,-33.91094279,151.14072187,1,,0,,,NSW
220410,,Marrickville Station,-33.91386840,151.15335646,1,,0,,,NSW
221110,,Padstow Station,-33.95191691,151.03217663,1,,0,,,NSW
221210,,Revesby Station,-33.95251787,151.01519695,1,,0,,,NSW
221310,,Panania Station,-33.95427746,150.99826036,1,,0,,,NSW
G2144108,,Ampol Service Station Cumberland Rd,-33.86420807,151.02281421,1,,0,,,NSW
G2144156,,Station Rd After Parramatta Rd,-33.84414452,151.03922569,1,,0,,,NSW
G2144158,,Station Rd After Hall St,-33.84856307,151.03582703,1,,0,,,NSW
G2144161,,Station Rd Near Simpson St,-33.84602320,151.03771601,1,,0,,,NSW
G2144162,,Station Rd Before Parramatta Rd,-33.84388255,151.03924574,1,,0,,,NSW
G2144218,,Station Rd Near Hall St,-33.84742132,151.03657239,1,,0,,,NSW
G2145169,,Dunmore St At Station St,-33.80792884,150.97252806,1,,0,,,NSW
G2145391,,Station St Opp Mckern St,-33.81014377,150.97146476,1,,0,,,NSW
G2145392,,Station St Opp Bennett St,-33.81184820,150.97086357,1,,0,,,NSW
G2145394,,"Wentworthville Public School, Station St",-33.81445623,150.96990474,1,,0,,,NSW
G2145507,,Station St After Bennett St,-33.81140663,150.97086472,1,,0,,,NSW
G2145508,,Station St Before Pritchard St,-33.80943019,150.97151810,1,,0,,,NSW
G2145509,,Station St After Smith St,-33.81254521,150.97048561,1,,0,,,NSW
G2145543,,Dunmore St Before Station St,-33.80789015,150.97205132,1,,0,,,NSW
G2145564,,Station St Opp Perry St,-33.81101000,150.97114863,1,,0,,,NSW
G214575,,Smith St At Station St,-33.81283734,150.97008892,1,,0,,,NSW
